序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
61,000151,中成股份,中成进出口股份有限公司,2000-09-06,--,,贸易,成套设备与技术进出口、环境科技和复合材料生产。
62,000153,丰原药业,安徽丰原药业股份有限公司,2000-09-20,--,,化学制剂,生物药、化学药及中药的研发、生产和销售；医药配送和药房零售。
63,000155,川能动力,四川省新能源动力股份有限公司,2000-09-26,--,,氮肥,新能源发电和锂电业务。
64,000156,华数传媒,华数传媒控股股份有限公司,2000-09-06,--,,有线电视,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市数字化业务、广电5G业务等。
65,000157,中联重科,中联重科股份有限公司,2000-10-12,--,,工程机械,工程机械和农业机械的研发、制造、销售和服务。
66,000158,常山北明,石家庄常山北明科技股份有限公司,2000-07-24,--,,棉纺,软件及信息技术服务和纺织两大板块。
67,000159,国际实业,新疆国际实业股份有限公司,2000-09-26,--,,石油天然气贸易,油品及化工产品批发业务、金属制品制造业。
68,000166,申万宏源,申万宏源集团股份有限公司,2015-01-26,--,,证券,企业金融、个人金融、机构服务及交易、投资管理。
69,000301,东方盛虹,江苏东方盛虹股份有限公司,2000-05-29,--,,火电,石化及化工新材料、民用涤纶长丝的研发、生产和销售等。
70,000333,美的集团,美的集团股份有限公司,2013-09-18,--,,空调、小家电,家用空调、中央空调、供暖及通风系统、厨房家电、冰箱、洗衣机、各类小家电、电梯、高低压变频器、医学影像产品、机器人及自动化系统业务；其他业务包括智能供应链、家电原材料销售、批发及加工业务，以及吸收存款、同业拆借、消费信贷、买方信贷及融资租赁等金融业务。
71,000338,潍柴动力,潍柴动力股份有限公司,2007-04-30,--,,汽车零部件,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
72,000400,许继电气,许继电气股份有限公司,1997-04-18,--,,电气自控设备,特高压、智能电网、新能源、电动汽车充换电、轨道交通及工业智能化五大核心业务。
73,000401,冀东水泥,唐山冀东水泥股份有限公司,1996-06-14,--,,水泥,生产和销售水泥熟料、各类硅酸盐水泥和与水泥相关的建材产品，同时涵盖砂石骨料、环保、矿粉、外加剂等产业(业务)。
74,000402,金融街,金融街控股股份有限公司,1996-06-26,--,,房地产开发,房地产开发和经营。
75,000403,派林生物,派斯双林生物制药股份有限公司,1996-06-28,--,,生物医药,血液制品的研究、开发、生产和销售。
76,000404,长虹华意,长虹华意压缩机股份有限公司,1996-06-19,--,,压缩机,冰箱压缩机、商用压缩机的研发、生产和销售以及能源汽车空调压缩机、清洁机器人等新兴产业。
77,000407,胜利股份,山东胜利股份有限公司,1996-07-03,--,,燃气,清洁能源天然气业务推广和应用，为工业、商业、居民等领域提供天然气应用服务，在交通运输领域为使用天然气的车辆提供天然气供应，并在天然气创新领域提供解决方案。
78,000408,藏格矿业,藏格矿业股份有限公司,1996-06-28,--,,钾肥,矿产资源（非煤矿山）开采、投资与投资管理、贸易、钾肥、碳酸锂、化肥生产销售。
79,000409,云鼎科技,云鼎科技股份有限公司,1996-06-27,--,,综合,信息化技术服务业务和煤气化技术推广业务。
80,000410,沈阳机床,沈阳机床股份有限公司,1996-07-18,--,,机床设备,金属切削机床制造。
81,000411,英特集团,浙江英特集团股份有限公司,1996-07-16,--,,医药商业,药品、中药、生物制品、医疗器械批发及零售业务。
82,000413,ST旭电,东旭光电科技股份有限公司,1996-09-25,--,,显示器件,光电显示制造、新能源汽车制造以及建筑安装工程。
83,000415,渤海租赁,渤海租赁股份有限公司,1996-07-16,--,,其他非银行金融,为境内外客户提供全方位的飞机租赁、集装箱租赁、基础设施租赁、大型设备租赁等租赁服务。
84,000416,*ST民控,民生控股股份有限公司,1996-07-19,--,,其他非银行金融,典当业务及保险经纪业务。
85,000417,合百集团,合肥百货大楼集团股份有限公司,1996-08-12,--,,百货,零售业、农产品交易市场两大类业务。
86,000419,通程控股,长沙通程控股股份有限公司,1996-08-16,--,,百货,商业零售、金融信用服务、酒店经营、现代物流与物业管理与经营等。
87,000420,吉林化纤,吉林化纤股份有限公司,1996-08-02,--,,粘胶纤维,粘胶长丝和碳纤维产品的生产、销售，以及粘胶短纤受托加工业务。
88,000421,南京公用,南京公用发展股份有限公司,1996-08-06,--,,燃气,燃气销售、房地产开发及客运产业。
89,000422,湖北宜化,湖北宜化化工股份有限公司,1996-08-15,--,,氮肥,尿素、磷酸二铵等化肥产品和聚氯乙烯等氯碱产品的开发、生产和经营以及新能源行业。
90,000423,东阿阿胶,东阿阿胶股份有限公司,1996-07-29,--,,中药生产,阿胶和阿胶系列及其他中成药等产品的研发、生产和销售。
