股票代码,描述
000001,"平安银行股份有限公司主要从事经有关监管机构批准的各项商业银行业务。2020年3月，《亚洲货币》主办2020“中国私人银行大奖”评选，本行私人银行获评“最佳家族办公室”大奖；2020年8月，《亚洲银行家》举办“2020年度中国奖项计划”活动，本行荣获“中国最佳手机银行应用”、“中国最佳客户体验（无摩擦奖项类别）”、“中国最佳商业模式”、“中国最佳贸易金融银行奖”、“最佳网络安全和IT风险管理项目”等八项大奖；2020年11月，权威机构IT研究顾问公司Gartner主办的“Gartner金融服务创新奖”决赛，本行凭借智慧风控平台项目，获得“Gartner金融服务创新奖”亚太地区的冠军等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000002,"万科企业股份有限公司的主营业务为房地产开发及相关资产经营和物业服务。公司主要产品及服务为房地产开发及相关资产经营/物业服务。2023年，公司继续荣登《财富》“世界500强”，位列榜单第173位；荣获中国房地产报社、中国住交会组委会评选的“中国房地产年度影响力企业”，荣获华夏时报评选的“稳健发展企业”；荣获克而瑞“中国房地产企业产品力Top10”；成都天府国际会议中心荣获“中国建设工程鲁班奖”，沈阳翡翠观澜荣获“中国土木工程詹天佑奖”，济南劝学里、济南中麓府一期、盘锦万科城如园、沈阳翡翠滨江、沈阳红梅文创园、大连御澜道荣获“广厦奖”；荣获民政部颁发的第十二届“中华慈善奖”；荣获财经杂志长青奖“可...查看全部▼万科企业股份有限公司的主营业务为房地产开发及相关资产经营和物业服务。公司主要产品及服务为房地产开发及相关资产经营/物业服务。2023年，公司继续荣登《财富》“世界500强”，位列榜单第173位；荣获中国房地产报社、中国住交会组委会评选的“中国房地产年度影响力企业”，荣获华夏时报评选的“稳健发展企业”；荣获克而瑞“中国房地产企业产品力Top10”；成都天府国际会议中心荣获“中国建设工程鲁班奖”，沈阳翡翠观澜荣获“中国土木工程詹天佑奖”，济南劝学里、济南中麓府一期、盘锦万科城如园、沈阳翡翠滨江、沈阳红梅文创园、大连御澜道荣获“广厦奖”；荣获民政部颁发的第十二届“中华慈善奖”；荣获财经杂志长青奖“可持续发展普惠奖”；获选为中国上市公司协会颁发2023年上市公司ESG最佳实践案例；先后荣获境外权威财经杂志《机构投资者》、《亚洲货币》评选的2023年地产行业中国最佳ESG企业第一名，获新财富最佳上市公司最佳ESG实践奖。收起▲Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000004,"深圳国华网安科技股份有限公司主营业务是移动应用安全服务业务。公司的主要产品是《创世神曲》游戏的运营及相关服务。公司在相关领域的技术研发水平已处于国内领先。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000006,"深圳市振业(集团)股份有限公司主要从事房地产开发与销售。产品类别涉及房产租赁、房产销售、代建服务等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000008,"神州高铁技术股份有限公司主营业务是轨道交通运营检修装备和轨道交通运营维保服务。公司主要业务涵盖车辆检修、信号系统、线路维护、轨边检测、车载电子、数据服务等细分领域，具备完善的轨道交通运营检修装备产业链基础，旗下多家子公司处于细分行业龙头地位。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000009,"中国宝安集团股份有限公司主要业务涉及高新技术产业、生物医药产业、房地产及其他产业。公司主要产品包括生物农药、生物肥料、房地产等。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000010,"深圳美丽生态股份有限公司主营业务为市政基础设施建设、建筑施工、公路工程。公司的主要产品有市政工程、公路工程、房屋建筑工程施工。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000011,"深圳市物业发展(集团)股份有限公司主营业务为主要服务为从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等。主要服务为房地产业务、物业管理业务、房屋租赁业务、餐饮业务、仓储业务。深物业集团与深圳改革开放相伴而生，深耕房地产和物业管理等领域三十余载，综合实力和品牌影响力不断攀升，行业地位逐年提高，历年来荣获多项荣誉和奖项。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000012,"中国南玻集团股份有限公司主营业务包括研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品，超薄电子玻璃和显示器件等新材料和信息显示产品，提供光伏电站项目开发、建设、运维一站式服务等。公司主要产品包括浮法玻璃、光伏玻璃、工程玻璃、电子玻璃、显示器件、太阳能。公司拥有高端浮法玻璃生产工艺的自主知识产权，超薄电子玻璃的技术工艺水平处于国内领先地位，节能玻璃的研发生产与世界先进水平同步。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
000014,"沙河实业股份有限公司主要从事房地产开发与经营、现代服务型产业用房运营与管理。公司以房地产开发与经营为主要业务,现已成功开发出荔园新村、祥祺花园、鹿鸣园、宝瑞轩、世纪村、世纪假日广场等10多个住宅、商务项目,面积逾100多万平方米.其中,世纪村通过国家建设部""3A""性能住宅认定,荣获""全国人居优秀推荐楼盘""称号.公司以深圳为依托,积极寻求对外扩张,并在湖南长沙、河南新乡等地开发新项目.公司拥有丰富的土地储备,曾在全国率先实行住宅质量保证书和住宅使用说明制度。连续多年被深圳权威资信机构评为""AAA""级信誉企业和深圳市守法纳税大户,曾获深圳市""文明企业""等多种殊荣。Copyright 2023 askci Corporation, All Rights Reserved 中商产业研究院版权所有"
