Error processing code 000005: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000005/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000007: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000007/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000029: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000029/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000042: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000042/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000045: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000045/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000099: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000099/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000301: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000301/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000333: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000333/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000411: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000411/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000428: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000428/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000565: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000565/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Error processing code 000606: HTTPSConnectionPool(host='s.askci.com', port=443): Max retries exceeded with url: /stock/summary/000606/ (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
